References	Qty	DNF	Manufacturer	Mouser	mpn
C1	1		KEMET	80-C1206C226M8R	C1206C226M8RACTU
C2	1		Panasonic	667-EEE-FKV121XSV	EEE-FKV121XSV
C3	1		Taiyo Yuden	963-GMK316AB7106KL	GMK316AB7106KL-TR
C4, C10, C11, C12	4	1	TDK	810-CGA3E2X7R1H104K	CGA3E2X7R1H104K080AA
C5, C7	2		TDK	810-C1608X7R1V105KAE	C1608X7R1V105K080AE
C6	1		Murata	81-GCM155R71H103KA5D	GCM155R71H103KA55D
C8, C9	2		TDK	10-CGA3E2X7R1H104K	CGA3E2X7R1H104K080AA
D1	1		OSRAM Opto	720-LOQ976-PS-25	LO Q976-PS-25
D2	1		OSRAM Opto	720-LBQ39GN1P1351	LB Q39G-N1OO-35-1
D3	1		OSRAM Opto	720-LTQ39GQ1S22515	LT Q39G-Q1OO-25-1
D4	1		OSRAM Opto	720-LSQ976-NR-1	LS Q976-NR-1
D5	1		Taiwan Semiconductor	821-TSZU52C5V1RGG	TSZU52C5V1 RGG
F1	1		Bourns	652-MF-NSMF020-2	MF-NSMF020-2
JP1	1		Samtec	200-TMS10301GS	TMS-103-01-G-S
JP2	1		Samtec	200-TMS10201GS	TMS-102-01-G-S
L1	1		Taiyo Yuden	963-CBC3225T470KRV	CBC3225T470KRV
P1	1		Samtec	200-SSW10803GS	SSW-108-03-G-S
P2	1		Samtec	200-SSW10603GS	SSW-106-03-G-S
P3	1		Samtec	200-SSW11003GS	SSW-110-03-G-S
P4	1		Samtec	200-SSW10803GS	SSW-108-03-G-S
P5, P6, P7, P8	4	1			
P9	1		Molex	538-39773-0002	39773-0002
P10	1		Molex	538-39773-0003	39773-0003
P11	1		Molex	538-53047-0810	53047-0810
R1, R3, R5, R13	4		Vishay	71-CRCW06031K00FKEAC	CRCW06031K00FKEAC
R2, R4, R6	3		Rohm	755-ESR03EZPF5101	ESR03EZPF5101
R7	1		Panasonic	667-ERJ-3RBD6202V	ERJ3RBD6202V
R8	1		Yageo	603-RC0603FR-0710KL	RC0603FR-0710KL
R9, R10, R11, R12, R14, R15, R16, R17	8		Vishay	71-CRCW06030000Z0EBC	CRCW06030000Z0EBC
R18, R19, R20, R21, R22, R23	6	1	Vishay	71-CRCW040210K0JNEDC	CRCW040210K0JNEDC
U1	1		TI		PMCT8316Z0TRGFR
